CircRNA,MDA-MB-231,MCF-7,averange,Chromosome,CircStart,CircEnd,Strand,Spliced seq length,Best transcript,Gene Symbol
hsa_circ_0067669,824.3228,705.0887,,chr3,142753729,142773961,+,1098,ENST00000488497,U2SURP
hsa-circRNA5430-2,777.42,728.3527,,chr3,10311814,10318172,+,1013,ENST00000287652,TATDN2
hsa_circ_0123736,280.2946,88.04675,,chr3,38278145,38278329,+,184,ENST00000446845,OXSR1
hsa_circ_0065508,3787.698,2607.967,,chr3,48956280,48965246,+,567,ENST00000488963,ARIH2
hsa_circ_0066240,180.5702,150.5304,,chr3,56700287,56700412,-,125,ENST00000493960,FAM208A
hsa_circ_0066012,1371.029,1110.336,,chr3,52365163,52384606,+,1858,ENST00000486752,DNAH1
hsa_circ_0067560,24.18349,113.4697,,chr3,140123399,140286919,+,4264,ENST00000458420,CLSTN2
hsa_circ_0065920,1663.474,1659.026,,chr3,51530749,51534018,-,177,---,VPRBP
hsa_circ_0067372,3458.843,3009.451,,chr3,132203431,132203516,+,85,ENST00000260818,DNAJC13
hsa-circRNA5783-1,4602.622,4616.605,,chr3,155611306,155632359,+,1011,ENST00000496455,GMPS
hsa-circRNA13834-41,228.5504,144.8014,,chr3,176767784,176771706,-,644,ENST00000430069,TBL1XR1
hsa_circ_0067002,112.3433,65.7764,,chr3,122423373,122432420,+,451,ENST00000474629,PARP14
hsa_circ_0122969,309.8873,239.5767,,chr3,183454505,183460733,+,6228,ENST00000305135,YEATS2
hsa-circRNA5820-14,626.9473,445.3044,,chr3,180651121,180675716,+,939,ENST00000357559,FXR1
hsa_circ_0064627,2351.6,4823.599,,chr3,27490141,27525838,-,27926,ENST00000425128,SLC4A7
hsa_circ_0124038,247.3217,145.6652,,chr3,49311481,49314274,-,507,ENST00000436325,C3orf62
hsa-circRNA5406-51,295.422,1506.045,,chr3,4704748,4709233,+,474,ENST00000423119,ITPR1
hsa_circ_0124017,2046.541,1759.619,,chr3,48789017,48789750,-,276,ENST00000454963,PRKAR2A
hsa_circ_0064381,131.7612,234.7279,,chr3,12868938,12869103,+,165,ENST00000295989,CAND2
hsa_circ_0065687,328.7535,230.5446,,chr3,49714041,49720934,+,1614,ENST00000296456,APEH
hsa_circ_0065612,7045.404,2682.912,,chr3,49169548,49170096,-,383,ENST00000418109,LAMB2
hsa_circ_0066063,531.0136,703.3506,,chr3,52540185,52545761,+,1134,ENST00000321725,STAB1
hsa-circRNA13719-31,601.111,780.6534,,chr3,125042231,125050082,-,138,ENST00000468369,ZNF148
hsa_circ_0122254,550.9893,471.1325,,chr3,142137345,142144380,-,940,ENST00000264951,XRN1
hsa-circRNA5859,82.79445,75.15724,,chr3,196304323,196304680,+,357,ENST00000440469,FBXO45
hsa-circRNA13494-47,171.6313,66.96103,,chr3,41705097,41977432,-,2833,ENST00000301831,ULK4
hsa-circRNA13878-1,31724.88,14355.08,,chr3,194343952,194349238,-,475,ENST00000392432,TMEM44
hsa-circRNA5794-2,1354.489,865.203,,chr3,159603995,159606732,+,440,ENST00000476809,IQCJ-SCHIP1
hsa_circ_0064655,8382.017,2396.374,,chr3,30691761,30715738,+,1133,ENST00000295754,TGFBR2
hsa_circ_0122336,626.2077,460.1094,,chr3,148759952,148781311,-,1128,ENST00000465259,HLTF
hsa_circ_0065970,237.1249,330.2163,,chr3,52019376,52021640,+,762,ENST00000458031,ACY1
hsa-circRNA13479-26,367.3323,208.5908,,chr3,33644443,33653563,-,607,ENST00000468888,CLASP2
hsa-circRNA13714-16,926.7568,1124.91,,chr3,123375972,123426850,-,2148,ENST00000360772,MYLK
hsa-circRNA5657-4,2806.744,1306.305,,chr3,101570928,101573527,+,1154,ENST00000483180,NFKBIZ
hsa_circ_0067118,346.6784,280.8267,,chr3,125295032,125295209,-,177,ENST00000296220,OSBPL11
hsa_circ_0067506,208.606,180.0829,,chr3,137942230,137953956,+,415,ENST00000481646,ARMC8
hsa_circ_0066513,2415.478,1014.59,,chr3,69236920,69239103,-,205,ENST00000398540,FRMD4B
hsa_circ_0121329,1377.553,1265.848,,chr3,100096548,100105822,-,768,ENST00000284320,TOMM70A
hsa-circRNA13714-22,842.6222,2450.548,,chr3,123440974,123444925,-,288,ENST00000360772,MYLK
hsa_circ_0066083,790.7935,370.6284,,chr3,52675969,52677359,-,188,ENST00000394830,PBRM1
hsa_circ_0064977,41.90861,34.88584,,chr3,42299317,42306929,-,1002,ENST00000434608,CCK
hsa_circ_0067525,631.8246,613.8522,,chr3,138400808,138413749,-,734,ENST00000477593,PIK3CB
hsa_circ_0067238,37295.18,38180.1,,chr3,128525214,128525433,+,219,ENST00000265062,RAB7A
hsa_circ_0064380,176.6308,266.2027,,chr3,12861584,12876313,+,1599,ENST00000295989,CAND2
hsa_circ_0123095,3112.302,1109.978,,chr3,191074876,191109686,+,34810,ENST00000392455,CCDC50
hsa-circRNA13887-33,1079.873,1324.393,,chr3,195791179,195803993,-,1139,ENST00000420415,TFRC
hsa_circ_0124573,2005.618,2135.133,,chr3,71743025,71759635,-,296,ENST00000425534,EIF4E3
hsa_circ_0067791,2067.151,2398.462,,chr3,155639975,155652835,+,489,ENST00000496455,GMPS
hsa_circ_0122081,156.5158,461.2482,,chr3,136183722,136196254,-,411,ENST00000383202,STAG1
hsa_circ_0122802,59.8181,65.27899,,chr3,178921301,178922376,+,1075,ENST00000263967,PIK3CA
hsa_circ_0065113,40.91168,94.64559,,chr3,46620584,46621343,+,303,ENST00000542931,TDGF1
hsa_circ_0066453,3257.115,1695.728,,chr3,65415194,65425687,-,1031,ENST00000330909,MAGI1
hsa_circ_0122867,1148.707,794.5706,,chr3,180651121,180671628,+,829,ENST00000357559,FXR1
hsa_circ_0121482,349.6197,404.5349,,chr3,113383159,113393743,-,274,ENST00000316407,KIAA2018
hsa-circRNA5418-3,1034.994,2147.042,,chr3,9796387,9798500,+,383,ENST00000302003,OGG1
hsa_circ_0066790,4422.104,12945.55,,chr3,111664114,111667922,+,234,ENST00000393923,PHLDB2
hsa_circ_0066414,2442.416,70.37221,,chr3,62142740,62153837,+,351,ENST00000295874,PTPRG
hsa_circ_0065428,573.3868,495.6006,,chr3,48623506,48629025,-,2216,ENST00000328333,COL7A1
hsa_circ_0065660,228.1445,372.06,,chr3,49711434,49720934,+,2758,ENST00000296456,APEH
hsa_circ_0001314,276.9835,114.9132,,chr3,56661064,56662642,-,392,ENST00000459993,FAM208A
hsa-circRNA5551,351.1229,694.6552,,chr3,47450652,47451058,+,307,ENST00000602307,PTPN23
hsa_circ_0065460,37.70477,48.7677,,chr3,48636431,48647098,-,1617,---,UQCRC1
hsa_circ_0122118,828.3502,798.7024,,chr3,138244331,138248304,-,252,ENST00000264982,CEP70
hsa_circ_0121478,397.5239,351.7848,,chr3,113152411,113176204,-,23793,ENST00000393845,WDR52
hsa-circRNA13442-39,250.3166,6838.341,,chr3,13427774,13441361,-,650,ENST00000254508,NUP210
hsa-circRNA5622-1,1912.191,5304.614,,chr3,69928284,69928534,+,250,ENST00000352241,MITF
hsa_circ_0124630,19.06135,28.25015,,chr3,76391328,76403536,+,12208,ENST00000487694,ROBO2
hsa_circ_0124226,5.197182,68.53252,,chr3,53808613,53814155,+,580,ENST00000350061,CACNA1D
hsa_circ_0067832,233.1652,311.0617,,chr3,159995093,160073938,-,1460,ENST00000483754,RP11-432B6.3
hsa_circ_0122810,298.4492,165.6868,,chr3,179047405,179051760,+,4355,ENST00000496856,ZNF639
hsa_circ_0124041,1216.93,372.5032,,chr3,49323530,49323758,-,228,ENST00000351842,USP4
hsa_circ_0124044,762.2486,595.5563,,chr3,49339816,49343321,-,333,ENST00000351842,USP4
hsa_circ_0067456,384.0362,1068.452,,chr3,135974697,136019953,+,843,ENST00000251654,PCCB
hsa_circ_0067716,649.9656,910.1061,,chr3,149563797,149589941,+,337,ENST00000392894,RNF13
hsa_circ_0065136,350.5963,446.4805,,chr3,47047822,47047939,+,117,ENST00000383740,NBEAL2
hsa_circ_0068043,56.36001,40.64405,,chr3,176738541,176915048,-,6550,ENST00000474363,TBL1XR1
hsa_circ_0064374,20.51361,86.38041,,chr3,12783952,12791339,-,363,ENST00000314124,TMEM40
hsa_circ_0064218,742.4021,502.8282,,chr3,10085512,10107663,+,1287,ENST00000287647,FANCD2
hsa-circRNA5773,298.1255,74.82143,,chr3,150140835,150156141,+,229,ENST00000485421,TSC22D2
hsa_circ_0008062,5336.445,3369.441,,chr3,38224493,38240354,+,364,ENST00000446845,OXSR1
hsa_circ_0124580,97.11983,256.435,,chr3,7188147,7189632,+,1485,ENST00000448328,GRM7
hsa_circ_0068079,498.1159,522.9362,,chr3,179065479,179066751,+,238,ENST00000471841,MFN1
hsa_circ_0066887,3164.971,4676.968,,chr3,119562101,119562200,-,99,ENST00000264235,GSK3B
hsa_circ_0121426,103.859,20.73855,,chr3,108366789,108381104,+,631,ENST00000361582,DZIP3
hsa-circRNA13669-1,1070.97,147.9571,,chr3,107910367,107925543,-,192,ENST00000264538,IFT57
hsa_circ_0068241,164.2486,97.72954,,chr3,183547172,183562114,-,842,ENST00000317096,PARL
hsa_circ_0121600,4.784332,9.220377,,chr3,120998651,121001184,+,224,ENST00000273666,STXBP5L
hsa_circ_0065392,156.3103,364.8837,,chr3,48572944,48598562,-,5339,ENST00000536104,PFKFB4
hsa_circ_0065326,6425.17,12058.47,,chr3,47890113,47890307,+,194,ENST00000446256,DHX30
hsa_circ_0067063,702.1063,316.9642,,chr3,123512523,123595464,-,350,ENST00000360772,MYLK
hsa_circ_0122034,306.877,593.6681,,chr3,134911417,134920531,+,464,ENST00000398015,EPHB1
hsa-circRNA13512-64,16910.4,10606.3,,chr3,47087976,47125872,-,1869,ENST00000431180,SETD2
hsa_circ_0064901,701.7994,408.8156,,chr3,39432931,39433111,+,180,ENST00000273158,SLC25A38
hsa-circRNA13896-1,2954.054,1851.142,,chr3,196742235,196743240,-,333,ENST00000296350,MFI2
hsa-circRNA13698-52,39.37838,16.72425,,chr3,121200418,121217517,-,4252,ENST00000264233,POLQ
hsa_circ_0067971,12428.56,6949.204,,chr3,171830241,171830380,+,139,ENST00000421757,FNDC3B
hsa_circ_0067349,1386.958,2096.626,,chr3,131206523,131208924,-,161,ENST00000264995,MRPL3
hsa_circ_0068034,1055.743,665.5248,,chr3,176738541,176743312,-,4771,ENST00000474363,TBL1XR1
hsa_circ_0008500,1299.575,667.2668,,chr3,196831773,196846401,-,381,ENST00000314062,DLG1
hsa_circ_0066725,164.9112,237.5804,,chr3,105452852,105495386,-,784,ENST00000264122,CBLB
hsa-circRNA5415-22,2767.201,3040.843,,chr3,9466150,9506356,+,2900,ENST00000402466,SETD5
hsa_circ_0065785,4.661255,4.217494,,chr3,50112633,50114685,+,375,ENST00000442092,RBM6
hsa_circ_0064494,1072.551,837.6297,,chr3,15614665,15616589,-,190,ENST00000321169,HACL1
hsa_circ_0065661,10226.5,10148.41,,chr3,49711921,49714457,+,987,ENST00000296456,APEH
hsa_circ_0121928,163.2409,137.2678,,chr3,132184838,132196984,+,817,ENST00000260818,DNAJC13
hsa_circ_0068038,1037.359,593.977,,chr3,176738541,176767926,-,5729,ENST00000474363,TBL1XR1
hsa_circ_0068237,94.34677,68.91378,,chr3,183515710,183530413,+,3214,ENST00000305135,YEATS2
hsa_circ_0068119,155.2235,83.80341,,chr3,179472519,179474866,+,150,ENST00000263966,USP13
hsa_circ_0066492,1951.636,1362.226,,chr3,67578555,67578646,-,91,ENST00000493112,SUCLG2
hsa-circRNA5406-23,1930.402,3744.68,,chr3,4706821,4777038,+,3990,ENST00000423119,ITPR1
hsa_circ_0123851,1803.172,2736.578,,chr3,44491004,44492974,-,502,ENST00000425708,ZNF445
hsa_circ_0121317,11836.69,12866.35,,chr3,100034942,100067725,+,32783,ENST00000344949,TBC1D23
hsa_circ_0066007,1696.943,1084.014,,chr3,52293212,52293282,-,70,ENST00000296490,WDR82
hsa_circ_0121766,304.2303,297.1664,,chr3,125286237,125295209,-,379,ENST00000296220,OSBPL11
hsa_circ_0065645,149.3307,99.18276,,chr3,49396578,49449526,-,1921,ENST00000418115,RHOA
hsa_circ_0065778,4609.545,4881.4,,chr3,50098388,50131308,+,17886,ENST00000434592,RBM6
hsa_circ_0122444,1156.753,652.9889,,chr3,153992250,153995507,-,3257,ENST00000496811,DHX36
hsa_circ_0124642,13.63522,26.21527,,chr3,76733168,76759779,+,26611,ENST00000487694,ROBO2
hsa_circ_0006996,461.1252,541.0071,,chr3,183655688,183671058,-,1372,ENST00000334444,ABCC5
hsa_circ_0005449,383.1699,424.6686,,chr3,51661568,51664947,+,686,ENST00000487093,RAD54L2
hsa_circ_0067301,1153.068,2082.991,,chr3,129280642,129280746,-,104,ENST00000393239,PLXND1
hsa_circ_0064314,729.3247,737.61,,chr3,11389350,11400086,+,354,ENST00000446450,ATG7
hsa_circ_0124037,3630.523,1525.953,,chr3,49159376,49159542,-,166,ENST00000467506,LAMB2
hsa_circ_0065363,99.32266,137.6577,,chr3,48445260,48466026,-,7046,ENST00000296440,PLXNB1
hsa_circ_0122729,631.088,515.5792,,chr3,17226600,17255862,-,264,ENST00000253692,TBC1D5
hsa_circ_0122666,554.1994,365.2982,,chr3,169814863,169840532,-,25669,ENST00000495893,PHC3
hsa_circ_0124823,210.6301,490.1613,,chr3,97471354,97471482,+,129,---,-
hsa_circ_0121682,178.0999,488.407,,chr3,123861056,123946911,+,85855,ENST00000448253,KALRN
hsa_circ_0121376,587.5707,54.55816,,chr3,101525896,101535845,+,281,ENST00000273347,NXPE3
hsa_circ_0066586,419.3024,159.6444,,chr3,81691931,81698142,-,437,ENST00000429644,GBE1
hsa_circ_0006429,959.1977,667.3492,,chr3,67568670,67579610,-,434,ENST00000493112,SUCLG2
hsa-circRNA13583-6,3585.284,2766.853,,chr3,52562652,52562951,-,131,ENST00000307076,NT5DC2
hsa-circRNA13881-23,180.5535,83.98711,,chr3,195047613,195053852,-,171,ENST00000326793,ACAP2
hsa_circ_0122559,7.826433,27.92914,,chr3,159192061,159193708,+,1647,ENST00000467442,IQCJ-SCHIP1
hsa_circ_0123984,4627.998,2510.635,,chr3,47969717,47982024,-,12307,ENST00000383737,MAP4
hsa_circ_0068166,13.36553,36.76831,,chr3,183361267,183402304,+,7157,ENST00000242810,KLHL24
hsa_circ_0122755,7.088181,6.292696,,chr3,174176303,174268427,+,92124,ENST00000481679,NAALADL2
hsa_circ_0124197,446.8931,463.0725,,chr3,52945018,52947633,-,426,ENST00000394752,SFMBT1
hsa-circRNA13479-23,536.039,234.1589,,chr3,33644443,33705007,-,1283,ENST00000468888,CLASP2
hsa_circ_0122716,26657.31,19607.95,,chr3,170981591,170981822,+,231,ENST00000436636,TNIK
hsa_circ_0067882,140.8187,30.24199,,chr3,169694733,169711619,+,1823,ENST00000480708,SEC62
hsa-circRNA13671-6,2916.606,600.4925,,chr3,108278603,108288454,-,1119,ENST00000295746,KIAA1524
hsa_circ_0124180,4536.764,2189.68,,chr3,52722124,52723222,+,217,ENST00000418458,GNL3
hsa-circRNA13773-18,480.2168,186.3953,,chr3,142261506,142280263,-,2280,ENST00000350721,ATR
hsa_circ_0066213,238.7373,1152.721,,chr3,55733405,55922577,-,444,ENST00000288221,ERC2
hsa_circ_0068316,12480.06,11059.52,,chr3,183977002,183979251,-,1360,ENST00000296238,CAMK2N2
hsa_circ_0067473,335.9505,326.0257,,chr3,136117590,136136814,-,169,ENST00000383202,STAG1
hsa_circ_0066221,59.30222,26.5438,,chr3,56654159,56695045,-,7035,ENST00000431842,FAM208A
hsa_circ_0068352,954.059,2046.74,,chr3,184060531,184060648,+,117,ENST00000450976,FAM131A
hsa_circ_0068169,20.91484,38.72813,,chr3,183368083,183402304,+,7094,ENST00000242810,KLHL24
hsa_circ_0064816,347.6547,134.9869,,chr3,36570187,36570477,+,190,ENST00000273183,STAC
hsa_circ_0123543,1178.256,679.653,,chr3,33454213,33467233,-,335,ENST00000283629,UBP1
hsa_circ_0064250,151.9889,126.8596,,chr3,10108892,10116357,+,474,ENST00000287647,FANCD2
hsa_circ_0123651,5.05034,4.688177,,chr3,35803792,35804693,-,901,ENST00000337271,ARPP21
hsa_circ_0066634,8164.577,9099.574,,chr3,99536677,99536887,+,210,ENST00000421999,CMSS1
hsa-circRNA5424-1,498.2215,475.0536,,chr3,9971535,9972627,+,277,ENST00000383812,IL17RC
hsa_circ_0065583,1907.352,2014.811,,chr3,49158546,49162917,-,3021,ENST00000418109,LAMB2
hsa_circ_0121694,96.79154,240.6737,,chr3,124132316,124149622,+,483,ENST00000460856,KALRN
hsa-circRNA13630-10,2514.421,2925.358,,chr3,67451154,67548719,-,426,ENST00000493112,SUCLG2
hsa_circ_0122183,2817.21,1614.06,,chr3,141272698,141305594,+,1406,ENST00000286364,RASA2
hsa-circRNA13568-11,2555.46,3332.504,,chr3,50386816,50387453,-,467,ENST00000476064,NPRL2
hsa_circ_0121438,4371.537,1641.152,,chr3,10953774,10980133,+,26359,ENST00000254488,SLC6A11
hsa_circ_0068320,7191.518,3411.893,,chr3,184019324,184019446,+,122,ENST00000310118,PSMD2
hsa_circ_0066151,789.5188,662.1528,,chr3,52977368,53003274,-,494,ENST00000394752,SFMBT1
hsa_circ_0066862,1185.504,1946.704,,chr3,119155637,119177087,-,999,ENST00000438581,TMEM39A
hsa-circRNA13639-32,90.98694,286.8187,,chr3,71348970,71542706,-,286,ENST00000318789,FOXP1
hsa_circ_0122975,3223.182,2986.069,,chr3,183471910,183495488,+,23578,ENST00000305135,YEATS2
hsa-circRNA5783-21,1070.624,1545.744,,chr3,155611306,155621749,+,395,ENST00000496455,GMPS
hsa_circ_0124232,4261.098,3284.047,,chr3,53909974,53914136,-,788,ENST00000335754,ACTR8
hsa-circRNA13655-13,1184.646,1264.403,,chr3,100091449,100105188,-,954,ENST00000284320,TOMM70A
hsa_circ_0067987,3121.661,1834.986,,chr3,171944660,172028671,+,1067,ENST00000415807,FNDC3B
hsa_circ_0123348,168.0491,78.40993,,chr3,24338716,24378862,-,218,ENST00000396671,THRB
hsa-circRNA13773-23,301.7228,113.3131,,chr3,142253921,142280263,-,2775,ENST00000350721,ATR
hsa_circ_0122643,166.9972,212.8728,,chr3,168139730,168142950,+,3220,ENST00000502778,-
hsa_circ_0123744,62.77871,202.8005,,chr3,38904685,38927729,-,1221,ENST00000450244,SCN11A
hsa_circ_0123572,676.0892,264.5347,,chr3,33623312,33681564,-,58252,ENST00000468888,CLASP2
hsa_circ_0123011,602.4725,882.711,,chr3,184577772,184588593,+,591,ENST00000437079,VPS8
hsa_circ_0122129,4.684174,4.15344,,chr3,138338552,138341258,+,422,ENST00000360570,FAIM
hsa-circRNA13899-5,2616.062,1885.263,,chr3,197340095,197348739,-,530,ENST00000414207,-
hsa_circ_0064114,2130.913,1983.396,,chr3,9439402,9471735,+,1548,ENST00000450326,SETD5
hsa_circ_0121474,78.13411,164.3042,,chr3,113114596,113125888,-,1000,ENST00000393845,WDR52
hsa_circ_0123238,522.011,298.6464,,chr3,196792146,196846401,-,1208,ENST00000314062,DLG1
hsa-circRNA13752-20,193.2196,109.8809,,chr3,132400757,132435753,-,3221,ENST00000471702,NPHP3
hsa_circ_0122681,1186.299,2217.663,,chr3,170002248,170016898,+,636,ENST00000295797,PRKCI
hsa-circRNA13829-8,835.342,486.3565,,chr3,171392289,171455872,-,2146,ENST00000356327,PLD1
hsa-circRNA5581-3,85.93878,4.802796,,chr3,50816105,51112871,+,512,ENST00000266037,DOCK3
hsa_circ_0066228,103.6518,59.18419,,chr3,56680549,56703819,-,1572,ENST00000493960,FAM208A
hsa_circ_0064638,3100.54,1208.61,,chr3,29804400,29804480,+,80,ENST00000434693,RBMS3
hsa_circ_0066856,17.9908,223.9176,,chr3,118644947,118647563,-,364,ENST00000425327,IGSF11
hsa-circRNA5805-32,6350.395,5538.644,,chr3,171965322,171965566,+,244,ENST00000415807,FNDC3B
hsa_circ_0122833,1800.257,1455.582,,chr3,179437727,179439377,+,283,ENST00000263966,USP13
hsa_circ_0122994,2411.054,3613.865,,chr3,184056274,184059591,+,3317,ENST00000444495,EIF2B5
hsa_circ_0006163,720.7836,792.534,,chr3,113207791,113225452,-,611,ENST00000295872,SPICE1
hsa_circ_0008184,6139.605,6280.951,,chr3,155628480,155643155,+,1034,ENST00000496455,GMPS
hsa_circ_0067568,1022.362,2191.219,,chr3,140675368,140682069,+,344,ENST00000446041,SLC25A36
hsa_circ_0064043,98.23965,681.3721,,chr3,4562707,4726890,+,3583,ENST00000423119,ITPR1
hsa_circ_0067499,159.645,324.0736,,chr3,137796340,137803095,-,360,ENST00000327532,DZIP1L
hsa-circRNA5661-2,539.2328,981.3606,,chr3,107380674,107435696,+,531,ENST00000402543,BBX
hsa_circ_0066454,1412.495,868.1726,,chr3,65415194,65456159,-,1410,ENST00000330909,MAGI1
hsa_circ_0123997,15.17776,18.68159,,chr3,48416843,48436079,+,19236,ENST00000296438,FBXW12
hsa_circ_0068331,368.2989,695.4053,,chr3,184023555,184026840,+,1350,ENST00000310118,PSMD2
hsa_circ_0066004,309.7074,585.5659,,chr3,52288437,52312659,-,4292,ENST00000296490,WDR82
hsa_circ_0122201,226.9268,135.1035,,chr3,141326519,141328908,+,586,ENST00000286364,RASA2
hsa-circRNA13442-44,358.4221,4144.129,,chr3,13393378,13393684,-,207,ENST00000254508,NUP210
hsa_circ_0123310,1024.461,666.8113,,chr3,20178433,20181856,+,255,ENST00000263754,KAT2B
hsa-circRNA5711-7,1930.539,3877.501,,chr3,127983459,128077216,+,979,ENST00000254730,EEFSEC
hsa_circ_0001996,642.1278,1335.842,,chr3,195086210,195112876,-,15759,ENST00000326793,ACAP2
hsa_circ_0068769,24586.16,25682.82,,chr3,197680873,197681018,+,145,ENST00000464167,RPL35A
hsa_circ_0001329,2065.111,6045.584,,chr3,119219541,119222868,+,323,ENST00000494664,TIMMDC1
hsa_circ_0068370,36.21923,22.86319,,chr3,184631306,184711851,+,1520,ENST00000437079,VPS8
hsa_circ_0124166,718.4603,342.0269,,chr3,52682359,52716249,-,33890,ENST00000356770,PBRM1
hsa_circ_0124734,5.747107,29.35529,,chr3,88187914,88192851,-,4937,ENST00000462901,CGGBP1
hsa_circ_0002865,233.2794,93.44867,,chr3,11399891,11518742,+,51137,ENST00000446450,ATG7
hsa-circRNA13678-2,45.00393,35.91797,,chr3,113077591,113135474,-,2495,ENST00000393845,WDR52
hsa_circ_0065244,12932.76,12538.66,,chr3,47651555,47719801,-,1586,ENST00000254480,SMARCC1
hsa-circRNA5606-17,120.1817,42.64484,,chr3,57293055,57294047,+,228,ENST00000288266,APPL1
hsa_circ_0122170,162.0421,364.346,,chr3,140695703,140695908,+,205,ENST00000446041,SLC25A36
hsa_circ_0067954,397.8743,338.0628,,chr3,171360629,171410232,-,1366,ENST00000356327,PLD1
hsa_circ_0004968,3231.896,522.8278,,chr3,98600383,98600611,-,228,ENST00000326840,DCBLD2
hsa-circRNA13687-4,1148.377,1701.827,,chr3,118942904,118949091,-,819,ENST00000483209,B4GALT4
hsa-circRNA13579-5,558.9312,471.7509,,chr3,52293732,52304825,-,538,ENST00000296490,WDR82
hsa_circ_0124156,936.2653,345.386,,chr3,52675969,52713742,-,37773,ENST00000356770,PBRM1
hsa-circRNA5427-32,210.4542,390.1632,,chr3,10107077,10116357,+,691,ENST00000287647,FANCD2
hsa-circRNA5803-37,4055.787,4618.718,,chr3,169977756,170016898,+,1480,ENST00000295797,PRKCI
hsa_circ_0124028,558.5996,329.6507,,chr3,48810387,48845117,-,434,ENST00000265563,PRKAR2A
hsa-circRNA5427-48,3025.843,5913.836,,chr3,10088263,10094181,+,522,ENST00000287647,FANCD2
hsa-circRNA5608-25,5972.566,3885.419,,chr3,58116467,58121895,+,732,ENST00000490882,FLNB
hsa_circ_0065405,1000.465,838.7263,,chr3,48603699,48612559,-,2191,ENST00000487017,COL7A1
hsa_circ_0067271,7118.414,9656.596,,chr3,128976312,128984635,+,889,ENST00000314797,COPG1
hsa_circ_0121648,675.4805,925.433,,chr3,122545646,122579049,+,701,ENST00000261038,DIRC2
hsa_circ_0123503,1318.268,1305.418,,chr3,32180078,32181858,+,280,ENST00000282541,GPD1L
hsa_circ_0064469,474.6197,410.7908,,chr3,15126241,15127468,-,309,ENST00000253699,ZFYVE20
hsa-circRNA5725-14,2424.969,2140.789,,chr3,130613433,130660543,+,711,ENST00000510168,ATP2C1
hsa_circ_0066742,4.823732,4.482488,,chr3,108099215,108100406,-,1191,ENST00000273353,MYH15
hsa-circRNA13428,100.5603,370.6245,,chr3,9911565,9912006,-,347,ENST00000455015,CIDEC
hsa_circ_0067446,329.5356,340.3635,,chr3,134825289,134885848,+,954,ENST00000398015,EPHB1
hsa_circ_0122311,51.40702,205.7362,,chr3,143513842,143551063,-,358,ENST00000316549,SLC9A9
hsa_circ_0064077,644.8687,3925.15,,chr3,5023076,5023200,+,124,ENST00000256495,BHLHE40
hsa_circ_0121857,196.8972,240.1278,,chr3,129566185,129599402,-,33217,ENST00000505924,TMCC1
hsa_circ_0067523,98.07432,80.81565,,chr3,138383877,138453646,-,1871,ENST00000477593,PIK3CB
hsa-circRNA13758-23,364.0713,404.747,,chr3,136136726,136342090,-,2167,ENST00000383202,STAG1
hsa_circ_0067745,306.1302,95.54881,,chr3,153935657,153958368,+,455,ENST00000356448,ARHGEF26
hsa-circRNA13772-6,70.01848,45.92966,,chr3,142116170,142151735,-,2264,ENST00000264951,XRN1
hsa_circ_0068244,355.7364,360.5366,,chr3,183551279,183551377,-,98,ENST00000317096,PARL
hsa_circ_0002381,2597.408,3686.747,,chr3,37089009,37090508,+,372,ENST00000231790,MLH1
hsa-circRNA5477-14,1080.885,577.1406,,chr3,29977576,29985745,+,159,ENST00000434693,RBMS3
hsa_circ_0066358,10003.87,5403.062,,chr3,58118534,58135954,+,1977,ENST00000490882,FLNB
hsa_circ_0065053,3728.269,3208.509,,chr3,45000622,45000952,-,330,ENST00000296127,ZDHHC3
hsa-circRNA5831-21,7506.571,3735.975,,chr3,184019324,184019859,+,347,ENST00000310118,PSMD2
hsa_circ_0067052,184.118,175.5576,,chr3,123426600,123427742,-,448,ENST00000360772,MYLK
hsa-circRNA5711-1,561.0408,1376.517,,chr3,127965678,128077216,+,1284,ENST00000254730,EEFSEC
hsa_circ_0066134,3500.565,5323.226,,chr3,52838741,52841121,+,397,ENST00000449956,ITIH3
hsa-circRNA5539-23,863.1901,782.0935,,chr3,45488382,45518119,+,502,ENST00000265537,LARS2
hsa-circRNA13447-7,18049.42,13941.55,,chr3,14565899,14567438,-,363,ENST00000273083,-
hsa_circ_0066401,916.1334,361.005,,chr3,59997096,60522712,-,296,ENST00000476844,FHIT
hsa_circ_0067420,53.54687,172.5339,,chr3,133524519,133526667,+,500,ENST00000466490,SRPRB
hsa-circRNA5450-34,453.0864,313.447,,chr3,15282959,15288964,+,552,ENST00000253693,CAPN7
hsa_circ_0065221,2535.195,3024.255,,chr3,47468936,47476627,-,509,ENST00000265565,SCAP
hsa-circRNA5805-49,9514.61,4263.734,,chr3,172096059,172096226,+,167,ENST00000415807,FNDC3B
hsa_circ_0006985,19201.12,15178.46,,chr3,47719687,47734790,-,406,ENST00000254480,SMARCC1
hsa_circ_0124476,1825.604,2179.606,,chr3,65361419,65369298,-,780,ENST00000330909,MAGI1
hsa_circ_0121436,110.6401,247.0342,,chr3,10953774,10971025,+,480,ENST00000254488,SLC6A11
hsa_circ_0067892,6635.266,5885.144,,chr3,169820589,169863309,-,2028,ENST00000495893,PHC3
hsa-circRNA13636-1,1416.86,732.307,,chr3,69245405,69246189,-,281,ENST00000398540,FRMD4B
hsa-circRNA13693-31,4166.692,7198.817,,chr3,119595259,119666198,-,627,ENST00000264235,GSK3B
